group	position	locus
LG1	33,91642696	NW_019825856.1-F001
LG1	33,94897004	LOC112010792
LG1	33,96147531	LOC112010766
LG1	33,98631293	LOC112010556
LG1	34,00050308	LOC112007192
LG1	34,00067469	LOC112034354
LG1	34,91828276	LOC112030470
LG1	35,19539778	LOC112035283
LG1	35,24682868	LOC112007217
LG1	35,25437228	LOC112007215
LG1	35,28387842	LOC112007253
LG1	35,41202653	LOC112007262
LG1	35,46668578	LOC112028060
LG1	35,62900489	NW_019811254.1-F001
LG1	36,79316194	LOC112024619
LG1	37,47491242	NW_019809022.1-F000
LG1	37,55844683	LOC112040732
LG1	38,05788794	LOC112025000
LG1	38,07659271	LOC112024965
LG1	38,80059445	NW_019809685.1-F000
LG1	39,2335873	LOC111985950
LG1	40,18580824	NW_019822822.1-F001
LG1	40,5	LOC112000477
LG1	40,53244927	LOC112000464
LG1	40,60530703	LOC112000433
LG1	40,61192575	LOC112000432
LG1	40,78889609	LOC112032457
LG1	40,79455361	NW_019812696.1-F000
LG1	40,87810173	NW_019809575.1-F002
LG1	40,89199304	LOC112022534
LG1	40,93564072	LOC111995816
LG1	41,08879553	NW_019816974.1-F000
LG1	41,1	LOC112009720
LG1	41,11	NW_019812693.1-F000
LG1	41,12	NW_019826377.1-F000
LG1	41,10018778	LOC112003308
LG1	41,24944749	LOC112003309
LG1	41,24977994	LOC112003323
LG1	41,28730646	LOC112028942
LG1	41,46110849	LOC112003297
LG1	41,51759317	LOC112009719
LG1	41,82230355	LOC111988988
LG1	42,20005277	LOC112036116
LG1	42,20409854	LOC112036103
LG1	42,22739463	LOC112033810
LG1	42,25146425	NW_019812345.1-F000
LG1	42,27779557	LOC112024379
LG1	42,40315819	LOC111999651
LG1	42,49002244	NW_019814432.1-F000
LG1	42,5	LOC112010933
LG1	42,51005509	LOC112033527
LG1	42,52555099	LOC112033526
LG1	42,56935621	NW_019820851.1-F001
LG1	42,59713094	LOC112032156
LG1	42,59984242	LOC112032155
LG1	43,10215864	LOC111992001
LG1	43,2314399	LOC112023864
LG1	43,35614936	LOC112008907
LG1	43,4030704	LOC112008912
LG1	43,50250416	LOC112016082
LG1	43,99794156	LOC112016084
LG1	44,00114703	LOC112016109
LG1	44,03139104	LOC112016081
LG1	44,16749719	LOC112000447
LG1	44,20544945	LOC112035478
LG1	44,27282083	LOC112039297
LG1	44,28057267	LOC112039300
LG1	44,4	LOC111987235
LG1	44,43051306	LOC112005428
LG1	45,25363848	LOC112005430
LG1	45,27557194	LOC112005441
LG1	45,29800715	LOC112005437
LG1	45,7001	LOC111985979
LG1	45,7002	LOC111988684
LG1	45,7003	LOC111988709
LG1	45,7004	LOC112004845
LG1	45,7005	LOC112019915
LG1	45,7006	LOC112025737
LG1	45,7007	LOC112026149
LG1	45,7007	LOC112034191
LG1	45,7008	NW_019824107.1-F000
LG1	45,96210561	LOC112008854
LG1	47,04146606	NW_019810703.1-F000
LG1	47,28802053	LOC112020827
LG1	47,39828232	LOC112009376
LG1	47,42662528	LOC112017106
LG1	47,67764954	LOC111994240
LG1	48,8001	LOC112028431
LG1	48,8002	LOC112028432
LG1	48,8003	LOC112039162
LG1	49,1426357	LOC112038983
LG1	49,14858354	LOC112038966
LG1	49,27360059	LOC112038963
LG1	49,4682573	LOC112030933
LG1	49,51362237	NW_019824106.1-F000
LG1	49,55099307	LOC112006141
LG1	49,57710068	LOC111994522
LG1	49,95161059	LOC112040712
LG1	49,95285339	LOC112005215
LG1	49,98626713	LOC112005202
LG1	50,09722471	NW_019814403.1-F001
LG1	50,11852275	LOC112011540
LG1	50,18984382	LOC112030079
LG1	50,19111573	LOC112031122
LG1	50,19719557	LOC111994396
LG1	50,20721105	LOC111993975
LG1	50,22862913	LOC112030111
LG1	50,2288514	NW_019811873.1-F000
LG1	50,29894536	LOC111987446
LG1	50,29995942	LOC112030104
LG1	50,32392886	LOC112030115
LG1	50,69311798	LOC112016577
LG1	50,71883586	NW_019815256.1-F000
LG1	50,72312746	NW_019816387.1-F000
LG1	50,9001	LOC111997296
LG1	50,9002	LOC111997298
LG1	50,9003	LOC112026449
LG1	50,9004	NW_019810984.1-F000
LG1	50,9005	NW_019813743.1-F000
LG1	50,9006	NW_019821263.1-F000
LG2	0,141951616	NW_019816399.1-F001
LG2	0,574571397	NW_019806773.1-F000
LG2	0,663860009	LOC111995501
LG2	0,7	LOC112025581
LG2	0,7	NW_019822939.1-F000
LG2	0,750738927	LOC112017568
LG2	0,763850656	LOC112017574
LG2	0,837790905	NW_019818599.1-F000
LG2	0,839861643	LOC112031555
LG2	0,974657031	LOC112015617
LG2	0,994675523	LOC112000507
LG2	1,053364694	LOC112001523
LG2	1,331706296	LOC112003864
LG2	1,351147819	LOC112028188
LG2	1,399193749	LOC112028189
LG2	1,660787028	LOC112015571
LG2	1,708550965	LOC112024664
LG2	1,843851672	LOC112009328
LG2	1,900176303	LOC112011203
LG2	2,056441248	LOC112006596
LG2	2,195200708	NW_019822185.1-F000
LG2	3,364789024	LOC111994016
LG2	3,370213426	LOC112026420
LG2	3,499998911	LOC112026432
LG2	3,5	LOC111994019
LG2	3,6	LOC112028332
LG2	4,177979897	LOC112039195
LG2	4,771694491	LOC112017570
LG2	4,861111202	LOC112038898
LG2	4,93689653	LOC112017534
LG2	5,008648105	LOC112026425
LG2	5,036833611	LOC112040550
LG2	5,214906856	LOC112039799
LG2	5,9	NW_019810215.1-F000
LG2	6,318020502	LOC111998690
LG2	6,506256817	LOC112017214
LG2	6,6	LOC112011988
LG2	6,645811271	NW_019815241.1-F000
LG2	6,726489397	LOC112039144
LG2	7	NW_019827745.1-F000
LG2	7,253822383	LOC112003638
LG2	7,903373162	LOC112002125
LG2	7,945295337	LOC112012050
LG2	8,074275561	LOC112018280
LG2	8,378425088	LOC112038255
LG2	9,005691751	LOC111995651
LG2	9,285350467	LOC112011030
LG2	9,346770554	NW_019812325.1-F000
LG2	9,36287386	LOC111986203
LG2	9,407330833	LOC112011046
LG2	9,463788431	NW_019817516.1-F000
LG2	9,491593709	NW_019819576.1-F000
LG2	9,600496079	LOC112011049
LG2	9,621493052	NW_019825995.1-F000
LG2	9,7	LOC112012383
LG2	9,768737119	NW_019814063.1-F000
LG2	9,780582232	LOC112003333
LG2	9,82843737	LOC112033432
LG2	9,89002316	LOC112022596
LG2	9,896797857	LOC112003295
LG2	9,955533053	NW_019824362.1-F000
LG2	9,986172449	LOC112010811
LG2	9,995162065	NW_019825857.1-F000
LG2	10,37453016	LOC111986109
LG2	11,3975865	LOC112011970
LG2	11,43046881	NW_019807390.1-F000
LG2	11,49806596	LOC112011953
LG2	11,58031467	LOC112035787
LG2	12,83334781	LOC112035807
LG2	12,96993508	LOC112023600
LG2	12,97587316	NW_019807655.1-F000
LG2	13,05270616	NW_019810190.1-F000
LG2	13,32314558	NW_019805923.1-F002
LG2	13,43626854	LOC112038073
LG2	13,51037844	LOC111998034
LG2	13,52529261	LOC111999676
LG2	13,54402225	LOC112039683
LG2	13,58332373	NW_019815280.1-F001
LG2	13,77926857	LOC111990441
LG2	14,02440831	LOC111991833
LG2	14,04529727	LOC112013271
LG2	14,09133263	LOC112036475
LG2	14,09407103	LOC112036476
LG2	14,76949744	LOC112031621
LG2	14,76955027	NW_019812451.1-F000
LG2	14,77714612	LOC112031623
LG2	14,7824634	NW_019812451.1-F001
LG2	15,19998864	NW_019814882.1-F000
LG2	15,2025684	LOC112018301
LG2	15,37007075	LOC112034166
LG2	15,4127223	LOC111999974
LG2	16,03068738	LOC112031932
LG2	16,07006053	NW_019816389.1-F002
LG2	16,10120783	LOC112031930
LG2	16,30752494	LOC112023627
LG2	16,33491522	LOC112023637
LG2	16,50925357	LOC112005081
LG2	16,56728042	LOC111986147
LG2	16,57933667	LOC112017680
LG2	16,61103901	LOC112017681
LG2	17,08344228	LOC112019733
LG2	17,0879688	NW_019825844.1-F000
LG2	17,1	LOC112034516
LG2	17,33572728	LOC112029958
LG2	17,7	LOC112029955
LG2	18,01013694	NW_019809898.1-F000
LG2	18,20126796	LOC112024587
LG2	18,6	LOC112011858
LG2	18,6	LOC112011869
LG2	18,81767594	LOC112011865
LG2	19,0210277	LOC112011828
LG2	19,2	LOC111997845
LG2	19,2	NW_019821390.1-F000
LG2	19,29240247	LOC112026236
LG2	19,39905347	LOC112026245
LG2	20,17096601	NW_019827590.1-F000
LG2	20,24451138	LOC111986926
LG2	20,50267153	LOC112005599
LG2	20,55277942	NW_019816526.1-F000
LG2	20,55282668	NW_019824420.1-F000
LG2	20,5879151	LOC112030669
LG2	22,10183427	NW_019824361.1-F000
LG2	22,11858431	NW_019827094.1-F000
LG2	22,1581573	LOC112017986
LG2	22,15975556	LOC112017988
LG2	22,1633034	LOC112008232
LG2	22,19586765	LOC111993624
LG2	22,19935295	NW_019824353.1-F002
LG2	22,2	LOC112005976
LG2	22,26536511	LOC112005972
LG2	22,74794687	LOC112027917
LG2	23,90334749	LOC111985636
LG2	24,40133244	LOC111993319
LG2	24,88799505	LOC112008272
LG2	25,17413401	NW_019816373.1-F001
LG2	25,48933542	LOC111985644
LG2	26,20209282	LOC111986608
LG2	26,82017357	LOC112003961
LG2	26,8202156	LOC112034268
LG2	26,90089347	LOC111994331
LG2	28,03029945	NW_019809670.1-F000
LG2	28,06115025	LOC111985096
LG2	28,06839306	LOC111985065
LG2	28,11005704	LOC111985110
LG2	28,11009163	LOC111985063
LG2	28,40681222	LOC111990548
LG2	28,6	LOC112021086
LG2	29,20642908	LOC112007180
LG2	29,35698664	LOC111994555
LG2	29,76708981	NW_019807189.1-F000
LG2	30,39203583	LOC111998335
LG2	30,44320838	LOC111989549
LG2	30,5	LOC112033912
LG2	30,64993723	LOC112032004
LG2	30,68259993	LOC111988065
LG2	30,91715813	LOC112010717
LG2	30,92904563	LOC112001085
LG2	31,09320759	NW_019814428.1-F000
LG2	31,10316213	LOC111997047
LG2	31,35324468	LOC111997051
LG2	31,38538633	LOC111997031
LG2	31,47191677	LOC111984701
LG2	31,47407277	NW_019816389.1-F001
LG2	31,54904993	LOC112010696
LG2	32,1031606	LOC112012459
LG2	32,43284738	LOC112005666
LG2	32,44073096	LOC112005642
LG2	32,54092146	LOC112005653
LG2	32,54114763	NW_019824358.1-F000
LG2	32,62765179	LOC111992852
LG2	32,69701194	LOC112008671
LG2	32,71037958	NW_019825171.1-F000
LG2	32,92370043	NW_019824358.1-F001
LG2	32,99891528	LOC112034130
LG2	33,02300986	LOC112029433
LG2	33,23985168	NW_019814681.1-F000
LG2	33,28031068	NW_019818376.1-F000
LG2	33,83771005	LOC111992349
LG2	34,2270328	LOC111992335
LG2	34,36294484	LOC112017973
LG2	34,46737548	LOC112022171
LG2	34,56581714	LOC112012615
LG2	34,79680543	LOC112022177
LG2	34,89638446	LOC111993683
LG2	35,07859904	LOC112024871
LG2	35,1	NW_019810184.1-F000
LG2	35,1	NW_019810184.1-F001
LG2	35,1	NW_019810184.1-F002
LG2	35,10809393	NW_019814680.1-F001
LG2	35,8	LOC111990472
LG2	35,8	LOC111990480
LG2	35,8	NW_019809988.1-F000
LG2	35,9108243	LOC112007001
LG2	35,95015247	LOC111992507
LG2	35,95538822	LOC111992528
LG2	35,98038727	LOC111992513
LG2	36,02158076	LOC111986364
LG2	36,03290695	NW_019815014.1-F000
LG2	36,06902222	LOC112028459
LG2	36,08957808	LOC112026195
LG2	36,09591237	LOC112026178
LG2	36,10048609	LOC112026188
LG2	36,10049634	NW_019810521.1-F000
LG2	36,10511466	LOC112026179
LG2	36,15210654	NW_019823062.1-F000
LG2	36,17998033	LOC112038663
LG2	36,19420871	LOC112038705
LG2	36,24137429	LOC112026415
LG2	36,25281211	LOC111987050
LG2	36,25685569	LOC111987059
LG2	36,27837589	LOC112011713
LG2	36,37962143	NW_019809671.1-F000
LG2	36,4	LOC112023883
LG2	37,4	NW_019813751.1-F000
LG2	38,00572477	NW_019813751.1-F001
LG2	38,28388636	LOC112034430
LG2	38,761274	LOC111984700
LG2	39,22400393	LOC111992180
LG2	39,29198538	LOC112023949
LG2	39,41277381	LOC111992169
LG2	39,46416391	LOC111998017
LG2	39,55097947	NW_019807054.1-F000
LG2	39,59883156	LOC112031987
LG2	40,57021784	LOC112034196
LG2	40,63980508	NW_019822679.1-F000
LG2	40,77801111	LOC112014693
LG2	40,99877078	LOC112014745
LG2	41,11240741	LOC112014449
LG2	41,29951472	LOC112014682
LG2	41,40667028	LOC112026174
LG2	41,44415368	LOC112026175
LG2	41,68020805	LOC112013919
LG2	41,71840622	NW_019808499.1-F003
LG2	41,8	LOC112014460
LG2	41,8	LOC112019799
LG2	41,8	LOC112041113
LG2	41,8	NW_019824362.1-F002
LG2	41,86706402	LOC112005048
LG2	41,94745982	NW_019810982.1-F000
LG2	41,96594335	LOC112022392
LG2	41,97149062	LOC112027359
LG2	42,08191893	LOC112010413
LG2	42,13230621	LOC112027345
LG2	42,17162325	LOC112022401
LG2	42,1771777	LOC112032505
LG2	42,217132	LOC111994747
LG2	42,24558997	NW_019807082.1-F001
LG2	42,28321245	NW_019807082.1-F000
LG2	42,30193276	LOC112033938
LG2	42,36564007	LOC112039273
LG2	42,41196693	LOC112008664
LG2	42,53609136	LOC112025059
LG2	42,71231744	LOC112024914
LG2	42,72797806	NW_019815244.1-F001
LG2	42,73511377	LOC112024792
LG2	42,75817407	NW_019815244.1-F000
LG2	42,7582088	LOC112039225
LG2	42,7937494	LOC112039263
LG2	42,83562395	LOC112039244
LG2	42,84988631	LOC112039232
LG2	42,86314665	LOC112039231
LG2	42,87214676	NW_019822475.1-F000
LG2	42,9	LOC111995818
LG2	42,9	LOC112003236
LG2	42,9	LOC112027212
LG2	42,9097014	LOC112029578
LG2	43,07583752	LOC112033808
LG2	43,08992616	LOC112040961
LG2	43,08992632	LOC111989027
LG2	43,12849896	NW_019812377.1-F000
LG2	43,13887694	NW_019812377.1-F001
LG2	43,39777524	LOC111993126
LG2	43,39973517	NW_019819793.1-F000
LG2	43,4	LOC112025868
LG2	43,4	LOC112034542
LG2	43,4	NW_019813983.1-F000
LG2	43,42763852	LOC111987598
LG2	43,59996172	LOC111988779
LG2	44,44225115	LOC112025847
LG2	45,28016861	NW_019813480.1-F000
LG2	45,30127019	LOC112027309
LG2	45,37870452	NW_019809939.1-F000
LG2	45,48157942	NW_019821936.1-F000
LG2	45,80432556	LOC112027304
LG2	45,98761963	LOC111988663
LG2	46,1566152	LOC112015619
LG2	46,20380791	LOC111998805
LG2	46,23951375	LOC112004223
LG2	47,30972011	NW_019823336.1-F000
LG2	48,03990684	NW_019824425.1-F002
LG2	48,10408966	NW_019824425.1-F001
LG2	48,17129314	NW_019824425.1-F000
LG2	49,86177678	LOC112023528
LG2	49,9043385	LOC112017525
LG2	49,97631766	LOC112004417
LG2	50,6	LOC112002152
LG2	50,6	LOC112002199
LG2	50,6	LOC112002206
LG2	50,6	LOC112002222
LG2	50,6	LOC112023547
LG2	50,6	NW_019823253.1-F002
LG2	51,50367031	NW_019817494.1-F000
LG2	51,58651601	LOC112023215
LG2	51,82935759	LOC112017761
LG2	51,84297207	LOC112002143
LG2	52,06106336	LOC112011965
LG2	52,19892236	LOC112025643
LG2	52,48489691	LOC112025651
LG2	53,5	LOC111997344
LG2	53,5	LOC111997361
LG2	53,5	NW_019821265.1-F000
LG2	53,51600174	LOC112018324
LG2	53,53072767	NW_019825856.1-F000
LG2	53,64963711	LOC112018334
LG2	53,65246791	NW_019807977.1-F000
LG2	54,2	LOC112015510
LG2	54,44912083	NW_019815277.1-F000
LG2	54,72159662	NW_019815277.1-F001
LG2	54,72878091	LOC112039569
LG2	54,8	LOC111984808
LG2	54,8	LOC111984887
LG2	54,83235298	LOC111984846
LG2	55,60488615	NW_019816462.1-F000
LG2	55,69582234	LOC111992606
LG2	55,70215002	NW_019810953.1-F000
LG2	55,70785848	LOC111987887
LG2	55,94055182	LOC111982969
LG2	55,95107955	LOC111986518
LG2	55,97902643	LOC111986797
LG2	55,99072281	LOC111986787
LG2	56,31964506	LOC112017500
LG2	56,51665791	LOC112017919
LG2	56,82163598	NW_019823776.1-F001
LG2	57,0252818	LOC112019519
LG2	57,11080051	NW_019812588.1-F000
LG2	57,87256322	LOC112023833
LG2	58,18264601	LOC112012984
LG2	61,30561826	LOC112035004
LG2	61,30615884	LOC112034678
LG2	61,6636906	NW_019821094.1-F000
LG2	61,72252785	NW_019814103.1-F000
LG2	61,8	LOC112023242
LG2	61,8	NW_019807550.1-F000
LG2	67,52233507	LOC112027565
LG2	67,7	LOC111994756
LG2	67,7	LOC112020941
LG2	67,7	LOC112020942
LG2	67,7	LOC112020953
LG2	68,10483938	LOC112033754
LG2	68,35076513	LOC111997065
LG2	68,50104848	LOC112033838
LG2	68,52353237	LOC112005596
LG2	68,5423103	LOC111992379
LG2	68,56874336	LOC111992387
LG2	68,73750181	NW_019809025.1-F000
LG2	68,75575401	LOC112022477
LG2	68,81052483	LOC112031166
LG2	69,30073693	LOC111996878
LG2	69,47123189	LOC111998771
LG2	69,54882073	LOC111998006
LG2	70,05544697	LOC111996884
LG2	70,5	LOC112023971
LG2	70,5	LOC112023978
LG2	70,5	LOC112024039
LG2	70,54807059	LOC111989441
LG2	70,8352383	LOC111993065
LG2	71,08508922	LOC111998624
LG2	71,13748154	NW_019821089.1-F002
LG2	71,38814536	LOC112040848
LG2	71,48228754	LOC112015818
LG2	71,59510202	LOC111988829
LG2	71,61371824	LOC112007471
LG2	71,93096692	NW_019805928.1-F000
LG2	71,93107837	NW_019810395.1-F000
LG2	72,40789899	LOC112027582
LG2	72,44774945	LOC112006110
LG2	72,49320262	LOC112006106
LG2	72,59095245	LOC111987824
LG2	72,5938802	NW_019819673.1-F001
LG2	72,67345784	LOC112017809
LG2	72,80809058	LOC112032752
LG2	74	LOC112019250
LG2	74,83483251	LOC112008962
LG2	74,83668399	NW_019825261.1-F001
LG2	74,85170363	LOC112008988
LG2	75,52665225	LOC112005655
LG2	75,53346462	LOC112005547
LG2	75,56273641	NW_019826553.1-F001
LG2	75,61393362	NW_019823589.1-F000
LG2	75,61463092	NW_019818052.1-F000
LG2	75,69607478	NW_019826553.1-F000
LG2	75,74533799	LOC111988151
LG2	75,76824683	LOC111988156
LG2	75,8	LOC111984877
LG2	75,9599522	LOC111988522
LG2	76,42886475	LOC112039034
LG2	76,5080435	NW_019818172.1-F001
LG2	76,51933182	NW_019807741.1-F001
LG2	76,53078774	LOC112017478
LG2	76,85079822	LOC111992778
LG2	76,9281746	LOC111985143
LG2	76,93893454	LOC111985125
LG2	76,99696901	LOC112024357
LG2	77	LOC112027906
LG2	77,00496512	LOC112027908
LG2	77,06494899	LOC112040767
LG2	77,40321679	LOC112040761
LG2	77,6	LOC111997441
LG2	77,6	LOC111997446
LG2	77,9	LOC111987481
LG2	77,9	LOC111987484
LG2	77,9	LOC111988934
LG2	77,9	LOC111988935
LG2	77,9	LOC111997442
LG2	77,9	LOC112003652
LG2	77,9	LOC112017832
LG2	77,9	NW_019817527.1-F000
LG2	77,90008399	LOC111988929
LG2	78,15132516	LOC112003674
LG2	78,15326067	LOC112003673
LG2	78,17578719	LOC111996987
LG2	78,32847602	LOC112035650
LG2	78,43121018	LOC112038796
LG2	78,49331216	NW_019807660.1-F000
LG2	78,68536803	LOC112040109
LG2	78,7845109	LOC111993384
LG2	78,80259661	LOC112017081
LG2	78,84278954	NW_019822939.1-F001
LG2	78,8509605	LOC112000515
LG2	78,93547013	LOC112023461
LG2	78,9957305	LOC112019876
LG2	78,99733809	LOC112019835
LG2	79,21806449	LOC111996081
LG2	79,38693013	LOC112038497
LG2	79,50009087	LOC112038486
LG2	79,8842594	LOC112037220
LG2	80,34900339	LOC112024251
LG2	80,7	LOC112024250
LG2	81,3676194	NW_019806415.1-F001
LG2	81,41561611	LOC112024164
LG2	81,47345812	LOC112024157
LG2	81,50063558	LOC112024158
LG2	81,76635981	LOC112006339
LG2	81,77321045	LOC112006355
LG2	81,814233	LOC112006362
LG2	81,86854638	LOC112029015
LG2	82,44577896	LOC112023885
LG2	82,76049514	LOC112023874
LG2	84,77969778	NW_019812699.1-F000
LG2	85,09214319	NW_019810184.1-F003
LG2	85,0926072	LOC112025327
LG2	85,48042	LOC112036692
LG2	85,7505316	LOC112030655
LG2	85,76702785	NW_019814625.1-F001
LG2	85,88527201	LOC111983146
LG2	85,91365011	LOC112036690
LG2	85,91894765	LOC111983134
LG2	85,98398937	LOC112036661
LG2	86,40865421	LOC112015586
LG2	86,77572736	LOC112008948
LG2	87,1	LOC111984609
LG2	87,1	LOC111986439
LG2	87,1	LOC111997571
LG2	87,1	LOC111997585
LG2	87,1	LOC112000102
LG2	87,1	LOC112000103
LG2	87,1	LOC112000104
LG2	87,1	LOC112003257
LG2	87,1	LOC112003968
LG2	87,1	LOC112017410
LG2	87,1	LOC112019272
LG2	87,1	LOC112019273
LG2	87,1	LOC112020552
LG2	87,1	LOC112020568
LG2	87,1	NW_019808252.1-F000
LG2	87,1	NW_019808252.1-F001
LG2	87,1	NW_019808252.1-F002
LG2	87,1	NW_019809862.1-F000
LG2	87,19122022	LOC111997515
LG2	87,97090296	LOC112020906
LG2	88,07064989	LOC112020898
LG2	91,42369823	LOC112005990
LG2	93	LOC112007027
LG2	93	LOC112007038
LG2	93	LOC112007064
LG3	0,432071473	NW_019821381.1-F001
LG3	2,869512775	LOC112028747
LG3	3,157691589	LOC112028757
LG3	3,2	LOC112006003
LG3	3,2	LOC112028737
LG3	3,2	LOC112028745
LG3	3,2	NW_019814680.1-F000
LG3	3,200510963	LOC112006019
LG3	3,222556322	LOC112006004
LG3	3,451802882	NW_019808499.1-F002
LG3	3,465476652	NW_019808499.1-F001
LG3	3,47815138	NW_019808499.1-F000
LG3	3,482215363	LOC112019824
LG3	3,771614905	LOC111997649
LG3	4,117753854	LOC112024346
LG3	4,194663343	LOC112024366
LG3	4,264313489	LOC112001014
LG3	4,268209442	LOC112001018
LG3	4,268209442	NW_019822957.1-F000
LG3	4,59011441	LOC112012598
LG3	4,790623835	LOC111998056
LG3	4,921522002	LOC112003918
LG3	5,760345283	NW_019814694.1-F000
LG3	6,272866037	LOC111995165
LG3	6,417857327	LOC111999922
LG3	6,484763463	NW_019820852.1-F000
LG3	6,64564976	LOC112030702
