gene	Arabidopsis ID
LOC112014913	AT1G02140
LOC112017999	AT1G02140
LOC111993315	AT1G02145
LOC112001704	AT1G02145
LOC112013381	AT1G02145
LOC112001705	AT1G02150
LOC111990562	AT1G02160
LOC111986002	AT1G02170
LOC111993971	AT1G02170
LOC112000993	AT1G02170
LOC112002928	AT1G02170
LOC112002929	AT1G02170
LOC112018959	AT1G02170
LOC111997845	AT1G02180
LOC112036415	AT1G02180
LOC111998302	AT1G02205
LOC111998303	AT1G02205
LOC111998304	AT1G02205
LOC111999683	AT1G02205
LOC112009915	AT1G02205
LOC112018104	AT1G02205
LOC112030629	AT1G02205
LOC111985789	AT1G02260
LOC111998961	AT1G02260
LOC112028216	AT1G02260
LOC112029835	AT1G02260
LOC111990580	AT1G02305
LOC112003320	AT1G02305
LOC112027886	AT1G02310
LOC112022420	AT1G02330
LOC111988488	AT1G02360
LOC112016111	AT1G02370
LOC112038701	AT1G02380
LOC112010503	AT1G02390
LOC111988356	AT1G02400
LOC112011730	AT1G02400
LOC112036060	AT1G02400
LOC112014811	AT1G02410
LOC112040905	AT1G02410
LOC112012162	AT1G02420
LOC112012586	AT1G02450
LOC111987521	AT1G02460
LOC112021894	AT1G02460
LOC112019216	AT1G02475
LOC111985304	AT1G02510
LOC111992902	AT1G02510
LOC112036941	AT1G02510
LOC111989876	AT1G02520
LOC111990689	AT1G02520
LOC111996618	AT1G02520
LOC111997738	AT1G02520
LOC112000602	AT1G02520
LOC112005047	AT1G02520
LOC112005051	AT1G02520
LOC112019697	AT1G02520
LOC112028097	AT1G02520
LOC112027115	AT1G02560
LOC112006842	AT1G02610
LOC112005655	AT1G02630
LOC111983608	AT1G02640
LOC111997088	AT1G02640
LOC112006849	AT1G02640
LOC112007757	AT1G02640
LOC112012801	AT1G02640
LOC112018981	AT1G02640
LOC112027730	AT1G02640
LOC112028549	AT1G02660
LOC112028555	AT1G02660
LOC111992448	AT1G02670
LOC112001265	AT1G02670
LOC111992749	AT1G02680
LOC112011213	AT1G02680
LOC112014720	AT1G02680
LOC112015865	AT1G02680
LOC112021405	AT1G02680
LOC112032303	AT1G02680
LOC112034962	AT1G02680
LOC112034947	AT1G02700
LOC112008246	AT1G02700
LOC112024806	AT1G02730
LOC112008512	AT1G02740
LOC112018938	AT1G02790
LOC112029433	AT1G02800
LOC112011070	AT1G02810
LOC112016366	AT1G02810
LOC112016367	AT1G02810
LOC112016370	AT1G02810
LOC112016386	AT1G02810
LOC112023340	AT1G02810
LOC111999064	AT1G02816
LOC112028809	AT1G02816
LOC112032725	AT1G02816
LOC112040705	AT1G02816
LOC112024791	AT1G02840
LOC111994635	AT1G02850
LOC111994637	AT1G02850
LOC111994641	AT1G02850
LOC112024795	AT1G02850
LOC112032601	AT1G02850
LOC112039037	AT1G02850
LOC112008491	AT1G02860
LOC112039318	AT1G02860
LOC112039230	AT1G02870
LOC111996432	AT1G02880
LOC112030581	AT1G02880
LOC112036784	AT1G02880
LOC111992647	AT1G02890
LOC111996343	AT1G02890
LOC112034527	AT1G02890
LOC111992557	AT1G02900
LOC112033578	AT1G02910
LOC112033554	AT1G02920
LOC112036725	AT1G02920
LOC112005879	AT1G02940
LOC112018696	AT1G02940
LOC112037745	AT1G02940
LOC112002999	AT1G02950
LOC112004783	AT1G02960
LOC112004785	AT1G02970
LOC112007751	AT1G02970
LOC112014714	AT1G02970
LOC112003596	AT1G03000
LOC112021864	AT1G03000
LOC112023798	AT1G03000
LOC112019220	AT1G03010
LOC111997822	AT1G03020
LOC112019229	AT1G03020
LOC111995242	AT1G03050
LOC112034272	AT1G03055
LOC111998529	AT1G03060
LOC112026825	AT1G03060
LOC112034235	AT1G03060
LOC112006854	AT1G03070
LOC112012399	AT1G03070
LOC112027236	AT1G03070
LOC112027232	AT1G03080
LOC111999121	AT1G03090
LOC112011483	AT1G03090
LOC112014564	AT1G03090
LOC112026890	AT1G03090
LOC112029869	AT1G03090
LOC112039321	AT1G03090
LOC112012291	AT1G03100
LOC112013037	AT1G03110
LOC112019424	AT1G03110
LOC112022675	AT1G03110
LOC112037411	AT1G03130
LOC111984297	AT1G03140
LOC111995153	AT1G03140
LOC112000634	AT1G03140
LOC112029515	AT1G03140
LOC112000635	AT1G03150
LOC111985431	AT1G03160
LOC111985428	AT1G03170
LOC111985433	AT1G03180
LOC111985419	AT1G03190
LOC111993742	AT1G03190
LOC112014588	AT1G03190
LOC112001147	AT1G03210
LOC112001148	AT1G03210
LOC112014592	AT1G03210
LOC111998752	AT1G03220
LOC111998763	AT1G03220
LOC112023199	AT1G03220
LOC112023202	AT1G03220
LOC112026392	AT1G03220
LOC111998747	AT1G03250
LOC112016993	AT1G03260
LOC111998761	AT1G03270
LOC112035538	AT1G03270
LOC112003196	AT1G03280
LOC112019182	AT1G03280
LOC112024734	AT1G03280
LOC111998769	AT1G03310
LOC112008381	AT1G03330
LOC112022493	AT1G03330
LOC111992637	AT1G03350
LOC111984989	AT1G03360
LOC112008028	AT1G03360
LOC112012702	AT1G03360
LOC112038795	AT1G03370
LOC112001493	AT1G03380
LOC112027578	AT1G03390
LOC112022631	AT1G03400
LOC112033675	AT1G03400
LOC111996700	AT1G03430
LOC112001499	AT1G03430
LOC112001573	AT1G03440
LOC112020566	AT1G03470
LOC111986020	AT1G03475
LOC112010113	AT1G03475
LOC112010315	AT1G03475
LOC112015646	AT1G03475
LOC112014956	AT1G03510
LOC112014951	AT1G03520
LOC112024120	AT1G03530
LOC112028735	AT1G03530
LOC112037535	AT1G03530
LOC112014954	AT1G03540
LOC111996259	AT1G03560
LOC111998616	AT1G03600
LOC111998593	AT1G03620
LOC111998577	AT1G03630
LOC111992420	AT1G03650
LOC111992958	AT1G03650
LOC111984264	AT1G03670
LOC111988906	AT1G03670
LOC111996783	AT1G03670
LOC111997505	AT1G03670
LOC112013162	AT1G03670
LOC112016606	AT1G03670
LOC112032093	AT1G03670
LOC112023983	AT1G03680
LOC112023984	AT1G03687
LOC111987831	AT1G03700
LOC112016485	AT1G03700
LOC112023950	AT1G03700
LOC112026501	AT1G03700
LOC111998200	AT1G03750
LOC112002359	AT1G03750
LOC112035020	AT1G03750
LOC112035021	AT1G03760
LOC112001649	AT1G03780
LOC112001689	AT1G03790
LOC112013198	AT1G03820
LOC112011855	AT1G03840
LOC112027530	AT1G03840
LOC112014660	AT1G03860
LOC112021224	AT1G03860
LOC112039741	AT1G03860
LOC112015374	AT1G03870
LOC112036643	AT1G03890
LOC111995474	AT1G03900
LOC112019285	AT1G03900
LOC112033226	AT1G03900
LOC111996004	AT1G03905
LOC112019249	AT1G03905
LOC111991471	AT1G03910
LOC111991473	AT1G03910
LOC111991984	AT1G03910
LOC112022896	AT1G03940
LOC112030948	AT1G03940
LOC112036458	AT1G03940
LOC112036511	AT1G03940
LOC112010548	AT1G03940
LOC112023286	AT1G03950
LOC112033711	AT1G04010
LOC112007387	AT1G04020
LOC112007389	AT1G04030
LOC112032448	AT1G04030
LOC112035275	AT1G04030
LOC111992209	AT1G04040
LOC112041058	AT1G04040
LOC111992196	AT1G04080
LOC112002632	AT1G04080
LOC112014041	AT1G04080
LOC112020860	AT1G04080
LOC112002668	AT1G04120
LOC112005712	AT1G04120
LOC111994546	AT1G04130
LOC112011910	AT1G04130
LOC112037735	AT1G04130
LOC111988041	AT1G04140
LOC111990014	AT1G04140
LOC112017487	AT1G04140
LOC112022832	AT1G04150
LOC111987653	AT1G04170
LOC112002807	AT1G04170
LOC112013185	AT1G04170
LOC111995342	AT1G04180
LOC112002672	AT1G04180
LOC112011408	AT1G04180
LOC112011575	AT1G04180
LOC111998446	AT1G04190
LOC112016408	AT1G04200
LOC111985958	AT1G04210
LOC111993915	AT1G04210
LOC112016411	AT1G04210
LOC112000328	AT1G04220
LOC112030764	AT1G04220
LOC111983519	AT1G04230
LOC111996690	AT1G04230
LOC112020429	AT1G04230
LOC112027116	AT1G04250
LOC112004724	AT1G04260
LOC111985331	AT1G04290
LOC112002204	AT1G04290
LOC112011932	AT1G04290
LOC112035207	AT1G04290
LOC112036907	AT1G04290
LOC112037714	AT1G04290
LOC112003269	AT1G04300
LOC112033143	AT1G04300
LOC111990868	AT1G04350
LOC112002295	AT1G04350
LOC112003240	AT1G04380
LOC111987170	AT1G04390
LOC112002754	AT1G04400
LOC112026344	AT1G04400
LOC112028112	AT1G04400
LOC112032666	AT1G04400
LOC112040392	AT1G04400
LOC111991581	AT1G04410
LOC112005668	AT1G04410
LOC112012059	AT1G04410
LOC111991596	AT1G04420
LOC112001503	AT1G04420
LOC111991582	AT1G04430
LOC112012913	AT1G04500
LOC111993760	AT1G04510
LOC112012915	AT1G04510
LOC112032463	AT1G04520
LOC112034266	AT1G04520
LOC111996532	AT1G04530
LOC111996521	AT1G04540
LOC111996533	AT1G04555
LOC112032815	AT1G04560
LOC112009948	AT1G04580
LOC112025370	AT1G04590
LOC111997814	AT1G04610
LOC112020947	AT1G04610
LOC112021127	AT1G04610
LOC112021128	AT1G04620
LOC111990888	AT1G04625
LOC111993302	AT1G04625
LOC111996849	AT1G04625
LOC111996891	AT1G04625
LOC112013655	AT1G04630
LOC111995423	AT1G04635
LOC112011127	AT1G04635
LOC112011144	AT1G04635
LOC112018534	AT1G04635
LOC112020707	AT1G04635
LOC112015291	AT1G04640
LOC112028116	AT1G04640
LOC112040346	AT1G04640
LOC112033875	AT1G04645
LOC111987597	AT1G04650
LOC111993632	AT1G04650
LOC111995613	AT1G04670
LOC111991331	AT1G04690
LOC111993454	AT1G04690
LOC112010309	AT1G04690
LOC112014711	AT1G04690
LOC112023167	AT1G04690
LOC112029648	AT1G04690
LOC112031414	AT1G04690
LOC112029638	AT1G04700
LOC112036842	AT1G04710
LOC112040105	AT1G04730
LOC111990836	AT1G04730
LOC112036985	AT1G04730
LOC112009307	AT1G04760
LOC112013960	AT1G04760
LOC112040096	AT1G04760
LOC112040099	AT1G04770
LOC112025736	AT1G04780
LOC112025738	AT1G04790
LOC112035991	AT1G04810
LOC111995722	AT1G04820
LOC112004381	AT1G04820
LOC112017746	AT1G04820
LOC112018698	AT1G04820
LOC112023060	AT1G04820
LOC112040242	AT1G04820
LOC111983544	AT1G04830
LOC111998266	AT1G04850
LOC112024268	AT1G04850
LOC112030736	AT1G04850
LOC112039097	AT1G04850
LOC112030144	AT1G04860
LOC112002648	AT1G04870
LOC112032753	AT1G04870
LOC112029848	AT1G04880
LOC112019426	AT1G04900
LOC112022652	AT1G04900
LOC112039864	AT1G04900
LOC112025011	AT1G04910
LOC112028431	AT1G04910
LOC112012339	AT1G04940
LOC111984503	AT1G04950
LOC111986793	AT1G04950
LOC111994943	AT1G04950
LOC112003037	AT1G04950
LOC112038058	AT1G04950
LOC111986799	AT1G04960
LOC112012768	AT1G04960
LOC111986823	AT1G04970
LOC112029889	AT1G04970
LOC111986807	AT1G04980
LOC112006779	AT1G04980
LOC111986803	AT1G04985
LOC111993434	AT1G04990
LOC112025447	AT1G05000
LOC111991988	AT1G05000
LOC112018947	AT1G05000
LOC111997410	AT1G05010
LOC112025431	AT1G05010
LOC112025436	AT1G05010
LOC112032292	AT1G05020
LOC112032300	AT1G05030
LOC112018835	AT1G05055
LOC112021196	AT1G05055
LOC112032970	AT1G05055
LOC112012004	AT1G05060
LOC111999203	AT1G05070
LOC112005252	AT1G05070
LOC112005235	AT1G05087
LOC112039680	AT1G05120
LOC112035787	AT1G05150
LOC112022261	AT1G05160
LOC111998301	AT1G05160
LOC112014183	AT1G05170
LOC112026255	AT1G05170
LOC112034861	AT1G05170
LOC112039006	AT1G05170
LOC112011526	AT1G05180
LOC112034866	AT1G05180
LOC111992214	AT1G05190
LOC111992895	AT1G05190
LOC112016846	AT1G05190
LOC112023558	AT1G05190
LOC112033030	AT1G05190
LOC112026602	AT1G05205
LOC112026601	AT1G05230
LOC111996084	AT1G05260
LOC111998161	AT1G05260
LOC112008717	AT1G05260
LOC112009242	AT1G05260
LOC112015256	AT1G05260
LOC112024648	AT1G05260
LOC112030480	AT1G05260
LOC112034141	AT1G05260
LOC112036569	AT1G05260
LOC112041098	AT1G05260
LOC111996073	AT1G05270
LOC112007791	AT1G05280
LOC111993170	AT1G05300
LOC111993283	AT1G05300
LOC111997766	AT1G05300
LOC112002423	AT1G05300
LOC112005404	AT1G05300
LOC112038453	AT1G05300
LOC112006493	AT1G05310
LOC112028486	AT1G05310
LOC112006426	AT1G05350
LOC112038137	AT1G05370
LOC112017872	AT1G05385
LOC111987484	AT1G05410
LOC112017868	AT1G05420
LOC112014051	AT1G05420
LOC111987455	AT1G05430
LOC111987475	AT1G05440
LOC111994752	AT1G05450
LOC112009540	AT1G05450
LOC111987468	AT1G05460
LOC111995114	AT1G05460
LOC111995126	AT1G05460
LOC111999327	AT1G05460
LOC112008038	AT1G05460
LOC111995101	AT1G05460
LOC111995121	AT1G05460
LOC111986518	AT1G05490
LOC112000670	AT1G05490
LOC112002935	AT1G05490
LOC112011739	AT1G05490
LOC111984338	AT1G05500
LOC112017489	AT1G05500
LOC111987948	AT1G05520
LOC112019573	AT1G05520
LOC112039091	AT1G05520
LOC112016363	AT1G05560
LOC112016364	AT1G05560
LOC112033110	AT1G05560
LOC112037209	AT1G05570
LOC111996148	AT1G05577
LOC111990120	AT1G05590
LOC111993362	AT1G05590
LOC111996177	AT1G05590
LOC111998115	AT1G05590
LOC112037686	AT1G05590
LOC112040081	AT1G05590
LOC111982951	AT1G05600
LOC112020104	AT1G05600
LOC112032417	AT1G05600
LOC112024059	AT1G05610
LOC111984559	AT1G05620
LOC111984586	AT1G05620
LOC111993602	AT1G05620
LOC112011021	AT1G05620
LOC111984590	AT1G05650
LOC112040050	AT1G05670
LOC112019355	AT1G05675
LOC112039381	AT1G05675
LOC112039387	AT1G05675
LOC111999561	AT1G05680
LOC111999562	AT1G05680
LOC112007422	AT1G05680
LOC112019349	AT1G05680
LOC112035458	AT1G05680
LOC112036409	AT1G05680
LOC112038766	AT1G05680
LOC112038873	AT1G05680
LOC112039374	AT1G05680
LOC112039386	AT1G05680
LOC112039388	AT1G05680
LOC112019357	AT1G05680
LOC112039385	AT1G05680
LOC112019347	AT1G05680
LOC111989325	AT1G05690
LOC111986963	AT1G05700
LOC111987832	AT1G05710
LOC111987837	AT1G05720
LOC112005205	AT1G05750
LOC112019520	AT1G05780
LOC112039534	AT1G05785
LOC112039563	AT1G05790
LOC111984655	AT1G05800
LOC111990979	AT1G05805
LOC112036709	AT1G05805
LOC111994171	AT1G05830
LOC111994174	AT1G05835
LOC111994173	AT1G05840
LOC111994246	AT1G05840
LOC112001752	AT1G05840
LOC112011831	AT1G05840
LOC111991045	AT1G05850
LOC111999175	AT1G05850
LOC112000839	AT1G05850
LOC112006465	AT1G05850
LOC112006474	AT1G05850
LOC112007790	AT1G05850
LOC112011344	AT1G05850
LOC112019269	AT1G05850
LOC112019458	AT1G05850
LOC111992056	AT1G05850
LOC112006442	AT1G05850
LOC112007789	AT1G05850
LOC112004118	AT1G05850
LOC111999784	AT1G05890
LOC112006579	AT1G05890
LOC112017601	AT1G05890
LOC111992906	AT1G05900
LOC112016743	AT1G05900
LOC111996256	AT1G05910
LOC112004289	AT1G05910
LOC112006953	AT1G05910
LOC111991694	AT1G05940
LOC112038958	AT1G05950
LOC111996255	AT1G05950
LOC111996252	AT1G05960
LOC111996288	AT1G05970
LOC112005448	AT1G05970
LOC112033480	AT1G06030
LOC111989202	AT1G06040
LOC112028367	AT1G06040
LOC112028362	AT1G06050
LOC111986123	AT1G06060
LOC111984016	AT1G06070
LOC111984855	AT1G06070
LOC112034768	AT1G06070
LOC111983322	AT1G06080
LOC112021613	AT1G06080
LOC112033367	AT1G06110
LOC112034757	AT1G06110
LOC112040834	AT1G06110
LOC112029412	AT1G06130
LOC111998869	AT1G06143
LOC112023354	AT1G06143
LOC112022369	AT1G06150
LOC112019281	AT1G06190
LOC112012290	AT1G06210
LOC111988940	AT1G06220
LOC112013325	AT1G06220
LOC112014449	AT1G06220
LOC112002029	AT1G06230
LOC112002080	AT1G06240
LOC112040062	AT1G06260
LOC112040071	AT1G06270
LOC112040064	AT1G06280
LOC112017283	AT1G06290
LOC112040188	AT1G06290
LOC112037130	AT1G06320
LOC112010648	AT1G06330
LOC112032495	AT1G06330
LOC112036099	AT1G06330
LOC111998265	AT1G06340
LOC112012872	AT1G06340
LOC112032483	AT1G06340
LOC112036062	AT1G06340
LOC111995852	AT1G06400
LOC111987561	AT1G06410
LOC112006257	AT1G06440
LOC112037843	AT1G06440
LOC111999776	AT1G06460
LOC111999781	AT1G06470
LOC111990147	AT1G06490
LOC111990127	AT1G06500
LOC111990165	AT1G06510
LOC111990154	AT1G06520
LOC111990152	AT1G06530
LOC112036274	AT1G06550
LOC112000220	AT1G06560
LOC112003018	AT1G06560
LOC112033484	AT1G06560
LOC112006425	AT1G06570
LOC112009501	AT1G06570
LOC112031249	AT1G06570
LOC112006471	AT1G06590
LOC111983713	AT1G06620
LOC111993886	AT1G06620
LOC111997432	AT1G06620
LOC111998247	AT1G06620
LOC111998249	AT1G06620
LOC112002281	AT1G06620
LOC112003248	AT1G06620
LOC112016434	AT1G06620
LOC112016435	AT1G06620
LOC112025595	AT1G06620
LOC112026458	AT1G06620
LOC112031511	AT1G06620
LOC112040234	AT1G06620
LOC111993166	AT1G06620
LOC111998537	AT1G06620
LOC111987263	AT1G06650
LOC111996182	AT1G06650
LOC112006435	AT1G06660
LOC112005018	AT1G06680
LOC112023302	AT1G06690
LOC111986868	AT1G06710
LOC112015078	AT1G06710
LOC112004040	AT1G06720
LOC112004254	AT1G06720
LOC112037024	AT1G06720
LOC112040046	AT1G06720
LOC112027235	AT1G06730
LOC111984998	AT1G06740
LOC111985960	AT1G06740
LOC111987520	AT1G06740
LOC111987710	AT1G06740
LOC111988187	AT1G06740
LOC111988740	AT1G06740
LOC111989366	AT1G06740
LOC111990217	AT1G06740
LOC111990724	AT1G06740
LOC111991782	AT1G06740
LOC111992034	AT1G06740
LOC111992567	AT1G06740
LOC111995617	AT1G06740
LOC111997793	AT1G06740
LOC112000386	AT1G06740
LOC112001856	AT1G06740
LOC112002940	AT1G06740
LOC112006211	AT1G06740
LOC112006638	AT1G06740
LOC112007367	AT1G06740
LOC112008678	AT1G06740
LOC112009754	AT1G06740
LOC112010817	AT1G06740
LOC112012769	AT1G06740
LOC112013170	AT1G06740
LOC112016740	AT1G06740
LOC112016803	AT1G06740
LOC112016871	AT1G06740
LOC112018524	AT1G06740
LOC112019222	AT1G06740
LOC112020806	AT1G06740
LOC112022237	AT1G06740
LOC112022279	AT1G06740
LOC112022323	AT1G06740
LOC112025090	AT1G06740
LOC112026126	AT1G06740
LOC112026669	AT1G06740
LOC112027243	AT1G06740
LOC112027519	AT1G06740
LOC112029644	AT1G06740
LOC112029694	AT1G06740
LOC112031734	AT1G06740
LOC112032089	AT1G06740
LOC112036119	AT1G06740
LOC112038637	AT1G06740
LOC112038727	AT1G06740
LOC112026457	AT1G06750
LOC111984672	AT1G06770
LOC112007647	AT1G06780
LOC111988963	AT1G06790
LOC112023342	AT1G06790
LOC111991102	AT1G06820
LOC112003794	AT1G06840
LOC112007219	AT1G06840
LOC112007249	AT1G06840
LOC112007250	AT1G06840
LOC112007254	AT1G06840
LOC112007261	AT1G06840
LOC112019381	AT1G06840
LOC111985089	AT1G06890
LOC111988318	AT1G06890
LOC112024965	AT1G06900
LOC111989481	AT1G06930
LOC111995987	AT1G06950
LOC111987431	AT1G06970
LOC112007236	AT1G06970
LOC112038973	AT1G06970
LOC112038974	AT1G06970
LOC112038975	AT1G06970
LOC111993099	AT1G06980
LOC112000444	AT1G07010
LOC112000443	AT1G07020
LOC111988218	AT1G07030
LOC112039416	AT1G07040
LOC111987413	AT1G07050
LOC111994409	AT1G07060
LOC112001304	AT1G07070
LOC111988214	AT1G07080
LOC111988225	AT1G07080
LOC111992822	AT1G07080
LOC111992834	AT1G07080
LOC111994401	AT1G07080
LOC111986558	AT1G07090
LOC111991592	AT1G07090
LOC111994405	AT1G07090
LOC112006917	AT1G07090
LOC112013018	AT1G07090
LOC112026301	AT1G07090
LOC111993768	AT1G07110
LOC112000690	AT1G07110
LOC112004395	AT1G07110
LOC112014764	AT1G07110
LOC112021627	AT1G07110
LOC112004412	AT1G07120
LOC112013832	AT1G07130
LOC112039308	AT1G07130
LOC112030082	AT1G07150
LOC111992364	AT1G07160
LOC112030960	AT1G07160
LOC112005725	AT1G07170
LOC112006712	AT1G07170
LOC112027668	AT1G07170
LOC112030778	AT1G07170
LOC112006758	AT1G07175
LOC112031105	AT1G07180
LOC111994566	AT1G07210
LOC112031064	AT1G07210
LOC111994561	AT1G07220
LOC112004797	AT1G07230
LOC111993306	AT1G07250
LOC111998049	AT1G07250
LOC112004817	AT1G07250
LOC112022465	AT1G07250
LOC112004821	AT1G07260
LOC111991906	AT1G07270
LOC112002574	AT1G07270
LOC111985898	AT1G07290
LOC112018268	AT1G07310
LOC112003319	AT1G07320
LOC112007878	AT1G07340
LOC111997142	AT1G07350
LOC112001578	AT1G07350
LOC112009719	AT1G07360
LOC112021981	AT1G07360
LOC112029099	AT1G07360
LOC112003142	AT1G07370
LOC112012114	AT1G07380
LOC111985165	AT1G07390
LOC111997805	AT1G07390
LOC112012042	AT1G07390
LOC112027017	AT1G07390
LOC112031951	AT1G07390
LOC112034588	AT1G07390
LOC112038313	AT1G07390
LOC111990764	AT1G07400
LOC112014642	AT1G07400
LOC112017465	AT1G07400
LOC112037670	AT1G07400
LOC112022533	AT1G07410
LOC112030943	AT1G07410
LOC112030954	AT1G07410
LOC112026279	AT1G07420
LOC112036867	AT1G07420
LOC112022071	AT1G07420
LOC112022554	AT1G07420
LOC112029198	AT1G07420
LOC111984042	AT1G07430
LOC112027993	AT1G07430
LOC111995535	AT1G07440
LOC112014984	AT1G07440
LOC112018241	AT1G07440
LOC112022540	AT1G07440
LOC112038885	AT1G07440
LOC112040459	AT1G07440
LOC111989918	AT1G07470
LOC112000569	AT1G07470
LOC112036112	AT1G07470
LOC112036111	AT1G07473
LOC112036113	AT1G07473
LOC111983528	AT1G07510
LOC111991990	AT1G07510
LOC112020440	AT1G07510
LOC112025448	AT1G07510
LOC112008905	AT1G07530
LOC112008906	AT1G07530
LOC112008912	AT1G07530
LOC112016074	AT1G07530
LOC112016082	AT1G07530
LOC112016105	AT1G07530
LOC112016112	AT1G07530
LOC112017333	AT1G07530
LOC112016086	AT1G07540
LOC112000513	AT1G07570
LOC112024072	AT1G07570
LOC112016432	AT1G07570
LOC112007536	AT1G07590
LOC112005442	AT1G07615
LOC111992997	AT1G07630
LOC112025153	AT1G07645
LOC112026116	AT1G07645
LOC112032577	AT1G07645
LOC111987341	AT1G07650
LOC111996505	AT1G07650
LOC112017888	AT1G07650
LOC112025424	AT1G07650
LOC112035377	AT1G07650
LOC112001584	AT1G07650
LOC111996501	AT1G07650
LOC112000804	AT1G07670
LOC112006099	AT1G07670
LOC112020431	AT1G07670
LOC111983338	AT1G07705
LOC112025737	AT1G07705
LOC112031222	AT1G07705
LOC111993235	AT1G07710
LOC111998167	AT1G07710
LOC112029037	AT1G07710
LOC112034191	AT1G07710
LOC112038838	AT1G07710
LOC112020195	AT1G07720
LOC112035729	AT1G07730
LOC111994424	AT1G07740
LOC111989650	AT1G07745
LOC111994448	AT1G07745
LOC111995879	AT1G07750
LOC112002189	AT1G07750
LOC112003857	AT1G07750
LOC112015733	AT1G07750
LOC112015735	AT1G07750
LOC111984536	AT1G07770
LOC111988698	AT1G07770
LOC111991195	AT1G07770
LOC111995037	AT1G07770
LOC112032273	AT1G07770
LOC112011945	AT1G07780
LOC111983520	AT1G07810
LOC111989924	AT1G07810
LOC112014573	AT1G07810
LOC111983353	AT1G07830
LOC112008586	AT1G07830
LOC112009546	AT1G07830
LOC112010974	AT1G07830
LOC112003130	AT1G07840
LOC112034468	AT1G07840
